#Fixed HDF5, Moving HDF5, Shift[0] (um), Shift[1] (um), Distance (nm), start key, end key, method, sig key, reference hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210920_0004_-30_inner_1.hdf5,-0.708,-0.228,743.72,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210924_0004_-30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210921_0000_-30_inner_2.hdf5,-0.782,0.374,866.61,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210924_0004_-30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210924_0005_-30_inner_1.hdf5,-0.634,0.323,711.09,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210924_0004_-30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210925_0000_-30_inner_2.hdf5,-0.492,0.251,551.88,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210924_0004_-30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210925_0001_-30_inner_3.hdf5,-0.680,0.195,707.51,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210924_0004_-30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211020_0003_-30_inner_1.hdf5,1.226,0.164,1237.17,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210924_0004_-30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211020_0004_-30_inner_2.hdf5,1.186,0.019,1186.41,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210924_0004_-30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210920_0003_-30_outer_1.hdf5,-0.941,-0.101,946.65,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210924_0004_-30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211020_0005_-30_outer_1.hdf5,1.166,0.056,1167.62,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210924_0004_-30_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210914_0002_-22.5_inner_1.hdf5,-0.563,0.316,645.28,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210914_0004_-22.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20210914_0003_-22.5_inner_2.hdf5,-0.589,0.377,698.98,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210914_0004_-22.5_outer_1.hdf5
Results_20210928_0004_0_outer_1.hdf5,Results_20211014_0004_-22.5_inner_1.hdf5,1.100,-0.503,1209.22,corrected_sampleFixed,endPos_sampleFixed,midpoint,PtLAlpha,Results_20210914_0004_-22.5_outer_1.hdf5
